"signature","libraryName","placeName","allAuthorNames","allNotes","place"
"832 (506)","Médiathèque de l'Abbaye Saint-Vaast","Arras","Hrabanus Maurus","Il manoscritto cartaceo è formato da 117 ff., rilegato in pergamena gialla. Il testo è disposto su due colonne. Al f. 2v nota del XII secolo: ""Rabanus Maurus, Magontie natus et renatus et a puero in Fulda monachus, inde de cella inclusus, tandem in archiepiscopum assumitur; cujus idonea nt opuscula in utriusque Testamenti paginam. Et ante portam praedicte vitatis meridianam, aput Sanctum Albanum, sepulchri ejus ostenditur meria, in sanctorum archiepiscoporum Martini et Bonifacii capella. Epitafium sancti Rabani Mauri, Moguntine sedis archiepiscopi, aput sanctum banum martirem sepulti"". Al f. 117v nota di possesso del XIII secolo, ""Liber Sancti Vedasti episcopi et confessoris"", che fa riferimento al monastero di Saint-Vaast. Allo stesso monastero si riferisce la nota al f. 1r: ""Bibliothecae monasterii Sancti Vedasti Atrebatensis 1628.B.4"". Nel manoscritto si legge solo l'epistola dedicata a Ludovico il Germanico, mentre il testo del De rerum naturis termina al capitolo XXII, 13. ","http://www.wikidata.org/entity/Q131329"
"71","Biblioteca Gennadios","Atene","Christophorus Bondelmontius","Cartaceo e monografico; specchio di scrittura: 32 linee; ff. II, 42, II' (bianco il f. 42); numerazione moderna, a lapis, in cifre arabe sul recto del foglio sul mg. sup. destro; segni di richiamo verticali. Scrittura di una sola mano in inchiostro nero, in minuscola umanistica corsiva; rigatura a piombo.","http://www.wikidata.org/entity/Q509078"
" 2° 8","Staats- und Stadtbibliothek","Augsburg","Hrabanus Maurus","Il manoscritto è composito, formato da cinque parti originariamente indipendenti (I, ff. 1-10, II, ff. 11-26, III, ff. 27-66, IV, ff. 67-100, V, ff. 101-110); membranaceo, è composto in totale da 111 ff, ma del f. 100 si conserva solo la metà superiore. Esemplato in minuscola carolingia, i ff. 1r-100r da più mani dell'inizio del XII secolo, i ff. 101r-110v da una mano dell'XI secolo. Il codice trasmette alcuni estratti del testo di Rabano Mauro all'interno delle Allegoriae di Isidoro di Siviglia, ff. 1r-9v e riporta inoltre: Beda il Venerabile, In epistolas catholicas expositio, ff. 11r-26v; Amalario di Metz, Liber officialis, ff. 27v-66v; Glossario erboristico latino-tedesco, f. 67r; Burcardo di Worms, Decretum, ff. 67v-100r; Scritti computazionali e tavolette, ff. 101r-101v; Helperic di Auxerre, Computus, ff. 102r-109v; Scritti computazionali e tavolette, ff. 110r-110v. ","http://www.wikidata.org/entity/Q2749"
"2° 107","Staats- und Stadtbibliothek","Augsburg","Iacobus Angeli de Scarperia","Il manoscritto cartaceo è formato da 91 ff. e misura 290x215 mm. Scritto in littera antiqua di una sola mano. La legatura è in pelle con punzonature della bottega viennese del maestro Mathias. ","http://www.wikidata.org/entity/Q2749"
"2° 203","Staats- und Stadtbibliothek","Augsburg","Sanctus Brendanus","Il codice composito è stato esemplato nell'abbazia dei Ss. Ulrich e Afra di Augusta, consta di XI, 144 ff. e misura 205x155 mm. Formato da sei U.C., la Navigatio s. Brendani si trova nella I insieme a Christopherus Liebius, De dignitate et magnificentia Ordinis s. Benedicti, f. 19r e Versi e note varie, f. 19v. I fogli 22r-57v e 111r-127v sono di mano di Georgius Somervelt, la cui nota di possesso di mano del XVIII secolo si legge al f.Ir. Il manoscritto ha subito la perdita di un foglio dopo l'attuale f. 9v e la lacuna, corrispondente a XII 64-XV 36 è integrata al termine della copia, ff. 19v-21v, da una mano diversa da quella del copista. ","http://www.wikidata.org/entity/Q2749"
"2° 289","Staats- und Stadtbibliothek","Augsburg","Sanctus Brendanus","Il manoscritto cartaceo è composto da 158 ff. e misura 275 x 205 mm, con il testo disposto su due colonne. Il codice propone una versione abbreviata della Navigatio, con l'omissione dei capitoli IV, dedicato alla costruzione della navicula, e XIV, in cui si racconta dei monaci che si lasciano trasportare in nave dal vento. Per l'edizione di questo manoscritto si rinvia a: http://ecodicibus.sismelfirenze.it/uploads/5/5/559/Nessi_Augsburg.pdf","http://www.wikidata.org/entity/Q2749"
"I.2.2° 38","Staats- und Stadtbibliothek","Augsburg","Hrabanus Maurus","Il manoscritto membranaceo è formato da 2 ff. di dimensione di 475x355 mm. Esemplato in Germania, il codice riporta soltanto un estratto del De rerum naturis, corrispondente ad alcuni capitoli del libro XXI (10,11,12, 23, 24). Il frammento è stato scoperto nel 1987 nella legatura di una traduzione latina di Tucidide di Lorenzo Valla stampata a Colonia nel 1550. ","http://www.wikidata.org/entity/Q2749"
"I.2.8° 10","Universitätsbibliothek","Augsburg","Sanctus Brendanus","Il manoscritto membranaceo è formato da I, 128 ff. e misura 160-170x115-120 mm. Si compone di quattro diverse U.C.: la prima, della prima metà del XIV secolo, fu esemplata a Bayern e trasmette la Medella animae vulneratae, ff. 1r-29v, le Note sui sette vizi e l'oratio dominica, ff. 29v-30r, De quattuor sectis in Teutonia inventis, ff. 30r-32r, Casus papales et episcopales et tabula eorum qui expelluntur a communione, ff. 32r-33r, Previsioni sul nuovo anno, f. 33v; la seconda, corrispondente ai ff. 34r-56v, trasmette la Navigatio, Sermone in cena Domini, ff. 57r-58r, Tractatus de minutione sanguinis, ff. 58r-63v, Guillelmus Medicus, Vita et sententiae Secundi philosophi, ff. 64r-66v, Quaestio de coitu cum leproso, f. 66v, Sentenze bibliche e note, ff. 67r, 68r; la terza risalente al primo terzo del XIII secolo riporta l'Elucidarium di Onorio di Autun, ff. 69r-92v, Decem praecepta legis, f. 92v, Distintiones praedicabiles, ff. 92v-116v; la quarta riporta invece Thomas d'Erfurt, Novi modi significandi, ff. 117r-122r, prove di penna del XV secolo, f. 122r, Johann Goldschmid, Tractatus de demonstratione a libro posteriorum Aristotelis excerptus; Quaestiones de demonstratione, ff. 127v-128v. ","http://www.wikidata.org/entity/Q2749"
"W. 309","Walters Art Museum","Baltimore (MD)","Christophorus Bondelmontius","Membranaceo; mm 260 x 180 (42 linee di testo); ff. I, 42, I' (bianco il f. 42v); numerazione moderna, a lapis, in cifre arabe sul recto del foglio sul mg. sup. destro; segni di richiamo orizzontali nel mg. inf. destro dello specchio di scrittura. Scrittura di due mani: la prima (ff. 2r-40v) per il ""Liber insularum"" in inchiostro nero, in gotica posata; la seconda (ff. 1r, 41r-42r) in inchiostro marrone, in libraria cinquecentesca. Contiene inoltre: (f. 41r) FRANCESCO I (attribuito a), epitaffio a Laura (in francese; inc.: «En petit lieu compris vous poues veoyr»); (f. 41v) MAURICE SCÈVE, sonetto apocrifo petrarchesco (in italiano; inc.: «Qui riposan quei casti et felici ossa»; con nota: «Repertus Avinione in Franciscanis / Anno 1533 XI kal febru.»).
Il manoscritto fu esemplato nella Francia sud-orientale, forse ad Avignone, nel terzo quarto del XV sec. Appartenuto alla collezione Ashburnham-Barrois, fu acquistato dal filantropo e collezionista Henry Walters prima del 1931.","http://www.wikidata.org/entity/Q5092"
"Ripoll 151","Arxiu de la Corona d'Aragó","Barcelona","Beda Venerabilis","Il manoscritto è membranaceo, composto da 168 ff., misura 215 x 135 mm e presenta una rilegatura in pergamena del XIX secolo. L'ente possessore è il monastero di Santa Maria di Ripoll. 
Il codice trasmette diversi testi: Bolla di Urbano II a Hugo de Cluny, ""Quoniam sanctitatem vestram"" (J-L 5349); De Octaviano imperatore. Octavianus Caesar LVIº anno regni sui (ff. 31v-32r); Odilone di Cluny, Statutum de defunctis (f. 32r); Hymnus Sancti Anastasii. Lux mundi beatissima Maria (f. 32v); Hymnus Sancti Anastasii. Lux mundi beatissima Maria (f. 32v); Vaticinium Sibille (ff. 33r-37v); Fulberto di Chartres, In nativitate Sanctae Mariae(ff. 37v-40v); Giovanni Crisostomo, Liber Mysticus (ff. 41r- 75v); Agostino, Enchiridion (ff. 75v-112v); estratti dal libro VII delle Etymologiae di Isidoro di Siviglia (ff. 112v-119r); Excerpta ex universo beate recordacionis Agustini episcopi in unum collecta (ff. 119r-131r); Excerpta de libro altercacionis Sancti Augustini episcopi adversus Pascentium et Felicianum et arrianos adversus Pascentium inter cetera (ff. 131r-135r); Fulgenzio di Ruspe, Epistola ad Ferandum [=epist. XIV], (ff. 140r-146v); Libellus De fide (ff. 146v-152r); Oratio Sancte Marie. Imperatrix reginarum et salvatrix animarum (f. 152r); Bolla di Urbano II a Hugo de Cluny, Quoniam abundante iniquitate (J-L 5682) (f. 152v); In nativitate Sancte Marie [Homilia] (ff. 153r-167v). 
","http://www.wikidata.org/entity/Q1492"
"Ripoll 41","Arxiu de la Corona d'Aragó","Barcelona","Sanctus Brendanus","Il manoscritto membranaceo è composto da II, 178 ff. e misura 355x255 mm con il testo disposto su due colonne. Trasmette inoltre il Tractatus de purgatorio sancti Patricii, ff. 27v-24v, la Visio monachi de Wynsham di Adam di Eynsham, ff. 3r-27v, la Visio Iohannis Eleemosinarii di Leonzio di Neapolis, ff. 105v-127r, la Visio prima sancti Francisci di Tommaso da Celano ff. 143r-175v. La nota di possesso del monastero è apposta da una mano del XIV secolo al f. 178v: ""Iste liber est sacri conventus Rivipulli"". ","http://www.wikidata.org/entity/Q1492"
"A I 28","Universitätsbibliothek","Basel","Rorgus Fretellus de Nazareth","Il manoscritto cartaceo è formato da 291 ff. e misura 300x200 mm. Il codice trasmette il testo di Fretello nella seconda redazione e riporta inoltre: atti di concili, ff. 3r-172v; profezia «ab Adam usque in finem mundi», ff. 195r-232r; Guillame Adam, De modo Sarracenos extirpandi, ff. 232v-254v; Directorium ad passagium faciendum, ff. 259v-291v. Il manoscritto trasmette tre testi della letteratura missionaria e crociata di XIII-XIV secolo, a cui la descrizione di Fretello fa da accompagnamento e corredo geografico. ","http://www.wikidata.org/entity/Q78"
"E III 20","Universitätsbibliothek","Basel","Guilielmus de Boldensele","Il manoscritto membranaceo è formato da 60 ff. con testo disposto a piena pagina. ","http://www.wikidata.org/entity/Q78"
"F V 6","Universitätsbibliothek","Basel","Anonymus Ravennas","Il manoscritto è cartaceo, misura 295-300 x 205-220 mm ed è composto da II, 137 ff. Parzialmente datato al 1 ottobre 1411, fu esemplato a Basilea e riporta il nome di Goffinus de Momalia, che fu in parte copista del testo. ","http://www.wikidata.org/entity/Q78"
"MA 280 (Delta IV 50)","Biblioteca Civica Angelo Mai","Bergamo","Alexander Ariostus","Il manoscritto è cartaceo, formato da 40 ff. e misura 194 x 146 mm.  Alla c. IV si legge un'annotazione : ""Descriptio terre sancte fratris Alexandri Ferrariensis ordinis minorum"". Il testo, a piena pagina, presenta le rubriche in rosso e l'antica segnatura Delta 4.50. ","http://www.wikidata.org/entity/Q628"
"MAB 30 (Gamma V 13)","Biblioteca Civica Angelo Mai","Bergamo","Iohannes Chrysostomus Zanchus","Il manoscritto è formato da 116 ff. e misura 312x205 mm. Scritto in littera antiqua, con iniziali di paragrafo e del nome Bergomum/Pergamum rubricati. Ai ff. 15r-18r silloge di trenta iscrizioni epigrafiche, di cui quattordici con cornice rettangolare a linea singola continua o tratteggiata, sette con cornice rettangola a linea doppia, cinque senza cornice, due stele centinate.  Riporta nel margine superiore del f. 11r la nota: “Hoc opus est presbyteri Bartolomei de Peregrinis”.","http://www.wikidata.org/entity/Q628"
"Diez. C 2° 2","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Sanctus Brendanus","Il manoscritto cartaceo è composto da VI, 294 ff. e misura 290x205 mm, con il testo disposto su due colonne. Trasmette inoltre: l'Historia destructionis Troiae di Guido delle Colonne, ff. 1r-122v, il Liber Alexandri Magni, ff. 123r-166v, l'itinerarius a terra Anglie di Jean de Mandeville, ff. 181r-225v, la Flos historiarum terrae Orientis, ff. 226r-270r, il De spiritu Guidonis di Jean Gobi, ff. 271r-280r, la Visio Trugdali, ff. 280r-294r. Il codice fu esemplato da una sola mano. Al f. 122v il colophon data la fine della copia al 2 ottobre 1455; al f. 294r un altro colophon data al 13 luglio 1456. ","http://www.wikidata.org/entity/Q64"
"Diez. C 2° 60","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Wilbrandus Oldenburgensis","Il manoscritto cartaceo è formato da due diverse unità codicologiche: la prima, ff. 1-37, risale alla fine del XIV secolo e riporta il De itinere Terrae Sanctae di Ludolph de Sudheim, ff. 2r-34r; la seconda, ff. 38-53, risale al XVII secolo e riporta l'Itinerarium Terrae Sanctae di Wilbrand von Oldenburg, ff. 39r-58v. ","http://www.wikidata.org/entity/Q64"
"Gorres 111  ","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Rorgus Fretellus de Nazareth","Il manoscritto membranaceo è formato da 107 ff. e misura 155x110 mm. Il codice trasmette il testo di Fretello nella seconda redazione e riporta inoltre: trattati vari di Bernardo di Chiaravalle, ff. 1r-93v; Sermo L, ff. 93v-96r; versi di Ildeberto, f. 96r; Innominatus I, ff. 104r-105r; Descriptio situs terre Egipti, ff. 106r-107r. ","http://www.wikidata.org/entity/Q64"
"Hamilton 108","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Christophorus Bondelmontius","Versione compendiata della “Descriptio insule Crete” di incerta paternità buondelmontiana.

Cartaceo e miscellaneo; mm 295x160; ff. II, 97; numerazione da 1 a 98, ma 30 saltati; vergato alternativamente con inchiostro nero e bruno, numerose postille marginali, alcune anche in verde e violetto; filigrana molto simile a Briquet nr. 3374. Il codice è stato prodotto nell’ambiente di Felice Feliciano (da un suo allievo o da un suo imitatore). È appartenuto nel XV secolo ad Antonio Venerio (stemma e note ai ff. Iv-IIv); al f. 1r sul mg. inf.: “Il sig. Aluiso” (secc. XVI-XVII); nella prima metà del XVIII è posseduto da Apostolo Zeno a Venezia (n° CLXI del Catalogo, nel cui volume non è più possibile riconoscerlo); poi appartenuto ai Domenicani (HB n° 77). Il volume è stato restaurato intorno al 1830 con legatura in pelle marrone.

Contiene: CRISTOFORO BUONDELMONTI (?), Descriptio Crete (ff. 84r-98v).

Contiene inoltre: (ff. 1r-79v) CRISTOFORO BUONDELMONTI, Liber insularum archipelagi, con postille e disegni del copista; lunghi passi della Asiae Europaeque elegantissima descriptio di Enea Silvio Piccolomini *** Cartaceo e miscellaneo; mm 295 x 160; ff. II, 97; numerazione da 1 a 98, ma 30 saltati; vergato alternativamente con inchiostro nero e bruno, numerose postille marginali, alcune anche in verde e violetto; filigrana molto simile a Briquet nr. 3374. Il codice è stato prodotto nell’ambiente di Felice Feliciano (da un suo allievo o da un suo imitatore). È appartenuto nel XV secolo ad Antonio Venerio (stemma e note ai ff. Iv-IIv); al f. 1r sul mg. inf.: “Il sig. Aluiso” (secc. XVI-XVII); nella prima metà del XVIII è posseduto da Apostolo Zeno a Venezia (n° CLXI del Catalogo, nel cui volume non è più possibile riconoscerlo); poi appartenuto ai Domenicani (HB n° 77). Il volume è stato restaurato intorno al 1830 con legatura in pelle marrone. Contiene: CRISTOFORO BUONDELMONTI, Liber insularum archipelagi, con postille e disegni del copista (ff. 1r-79v). Contiene inoltre: (ff. 84r-98v) CRISTOFORO BUONDELMONTI (?), Descriptio Crete; lunghi passi della Asiae Europaeque elegantissima descriptio di Enea Silvio Piccolomini.","http://www.wikidata.org/entity/Q64"
"Hamilton 637","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Guidus Pisanus","Il manoscritto membranaceo e cartaceo è formato da I, 52 ff. e misura 200x135 mm con legatura moderna con piatti in legno e dorso in pelle. Al f. 1r nota di possesso del XVI secolo: ""Ad usum D. Honorati Cesenatis canonici regularis lateranensis"". Esemplato in Italia, il codice appartenne nella prima metà del XVIII secolo alla biblioteca di Apostolo Zeno (1668-1750), poi ai Domenicani di S. Maria del Rosario a Venezia, ad Alexander Douglas, duca di Hamilton (1767-1852) e infine, dal 1883, alla Biblioteca di Stato di Berlino. La sezione di Guido è tradita nella seconda unità codicologica, ff. 43-52, che trasmette: Vibio Sequestre,  De fluminibus, fontibus, lacubus, nemoribus, paludibus, montibus, gentibus per litteras liber, ff. 43r-44v; Polemio Silvio, Laterculus, ff. 44r-45r; Liber provinciarum Italie, ff. 45r-48v; De provinciis Italie secundum quosdam philosophos, ff. 48v-49v; Liber de origine situque et qualitate Romane urbis, ff. 49v-52v. ","http://www.wikidata.org/entity/Q64"
"Lat. fol. 264","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Iohannes Boccaccius","Rubrica incipitaria in inchiostro rosso di mano del copista: f. 2r: «Iohannis Boccacii de
Certaldo de montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus, de
nominibus maris liber». Assente il Carme sull'Arno. ","http://www.wikidata.org/entity/Q64"
"Magdeburg 26","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Sanctus Brendanus","Il manoscritto cartaceo è formato da VIII, 461 ff. e misura 315x215 mm, con il testo disposto su due colonne. Probabilmente esemplato a Magdeburgo, trasmette inoltre: Legendarium Magdeburgense, ff. 1r-424r con all'interno la Navigatio nella leggenda di Mattia; la Chronica archiepiscoporum Magdeburgensium, ff. 424v-459r; Lista di pontefici da Pietro a Innocenzo I, f. 459v. L'estratto della Navigatio si trova all'interno del Legendarium Magdeburgense, da cui riprende l'intero capitolo XXV. ","http://www.wikidata.org/entity/Q64"
"Philipps 1883 (Rose 146)","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Rorgus Fretellus de Nazareth","Il manoscritto membranaceo è formato da 111 ff. e misura 140x110 mm. Esemplato in Francia, il codice trasmette il Liber di Fretello nella seconda redazione e riporta inoltre: Jacques de Vitry, Historia Orientalis, ff. 1r-95v ed estratti di vari testi. La Descriptio di Fretello è acefala e presenta glosse marginali con il nome dei luoghi descritti. ","http://www.wikidata.org/entity/Q64"
"lat. 4° 70 (Rose 968)","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Franciscus Pipinus","Il manoscritto membranaceo è composto da 311 ff. e misura 170x100 mm. Fu esemplato in Inghilterra, ma già dal  XV secolo il codice si trovava in Germania, posseduto da Detmar de Hovele. Il manoscritto trasmette inoltre: il Secretum Secretorum dello Pseudo-Aristotele, l'Imago mundi di Onorio d'Autun, un commentario a Metheora di Aristotele, il Chronicon di Martin Polono, il Sompniale Danielis prophete, l'Experimentarius di Bernardo Silvestre, il Liber aggregationis dello pseudo Alberto Magno e il Liber de virtutibus herbarum, lapidum et animalium. ","http://www.wikidata.org/entity/Q64"
"lat. fol. 136","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Rorgus Fretellus de Nazareth","Il manoscritto cartaceo è formato da 157 ff. e misura 230x140 mm. Esemplato in Germania, il codice riporta la seconda redazione del testo di Fretello e trasmette inoltre: estratti di Onorio di Autun, Imago mundi, ff. 1r-15r; Enrico di Heimburg, Annales, ff. 15v-23r; Jacques de Vitry, Historia orientalis, ff. 26r-97r; estratti da varie cronache, ff. 98r-134v; cronaca del mondo mutuata in gran parte da Martin Polono, ff. 136r-148r; liste di vescovi, presbiteri, cardinali, arcivescovi, nobili, ff. 148r-153v; breve cronaca boema, ff. 154v-157r. ","http://www.wikidata.org/entity/Q64"
"lat. fol. 198","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Rorgus Fretellus de Nazareth","Il manoscritto cartaceo è formato da 277 ff. Il codice trasmette il Liber di Rorgo Fretellus nella seconda redazione e riporta inoltre:  Jacques de Vitry, Historia Orientalis, ff. 1r-142r; Poggio Bracciolini, Liber facetiarum, ff. 143r-168v; estratti da Solino, Pietro Comestore, Giustino, Girolamo, ff. 169r-216v; Ludolfo di Sudheim, De itinere Terrae Sanctae, ff. 217v-267v. Il manoscritto è tra i pochi della seconda redazione a trasmettere gli elenchi di vescovi e patriarchi. ","http://www.wikidata.org/entity/Q64"
"lat. oct. 32","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Beda Venerabilis","Manoscritto membranaceo composto da 96 ff. Il codice è una miscellanea di testi dedicati alla descrizione dei luoghi della Terra Santa: Descriptio Terrae Sanctae di Giovanni di Würzburg (ff. 1r-31v); Itinerarium Antonini (ff. 32r-46v); Adamnano, De locis sanctis (ff. 47r-82v); ","http://www.wikidata.org/entity/Q64"
"lat. qu. 291","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Rorgus Fretellus de Nazareth","Il manoscritto membranaceo è formato da 93 ff. e misura 220x155 mm. Esemplato in Germania, il codice è parzialmente datato al 1331 ai ff.1r-41v. Il manoscritto trasmette anche  il Chronicon di Martin Polono, ff. 1r-41v, l'Historia de ortu Ierusalem di Oliviero di Padeborn, ff. 43v-61r, la Relatio tripartita di Aimaro monaco, ff. 66v-68r,  l'Historia Damiatina di Oliviero Scolastico, ff. 68r-69r e 77v-78r, il Memoriale de praerogativa Romani imperii di Alexander de Roes, ff. 79r-93r, il Decretum de sede regia Aquisgranensi, f. 93v.  Il codice riporta il Liber di Rorgo Fretellus in una versione particolare, che risulta dalla contaminazione della prima e della seconda redazione, da cui vengono recuperati il prologo e varie informazioni nel corso del testo. ","http://www.wikidata.org/entity/Q64"
"lat. qu. 618","Staatsbibliothek - Preußischer Kulturbesitz","Berlin","Franciscus Pipinus","Il manoscritto cartaceo è formato da 148 ff. e misura 215x155 mm. Esemplato a Bergamo il 5 Gennaio 1407/1408, il codice apparteneva al senatore veneziano Jacopo Soranzo (m. 1761) e fu successivamente acquistato dal gesuita veneziano Matteo Luigi Canonici (1727-1805) e poi dal reverendo Walter Sneyd, per arrivare infine a Berlino. Il manoscritto trasmette anche il De locis Terrae Sanctae di Francesco Pipino, ff. 105r-118r, e l'Historia de Septem sapientibus, ff. 118r-135v. ","http://www.wikidata.org/entity/Q64"
