"signature","libraryName","placeName","allAuthorNames","allNotes","place"
"271","Barcelona, Biblioteca de Catalunya","Barcellona","Johannes Presbyter","Il manoscritto trasmette la redazione D dell'Epistola, risalente al XIII secolo, che riporta diversi elementi aggiuntivi. ","http://www.wikidata.org/entity/Q1492"
"490","Barcelona, Biblioteca de Catalunya","Barcellona","Odoricus de Portu Naonis","Il manoscritto cartaceo è formato da 125 ff. e misura 290x220 mm. Il testo è disposto a piena pagina e ai margini sono presenti diverse annotazioni in forma di sommario. Il manoscritto trasmette diversi testi, in catalano e latino, tra cui le Rugulae della cancelleria di papa Martino, documenti sul concilio di Basilea, testi giuridici, opere profetiche e religiose, letteratura di viaggio, tra cui l'Historia trium regum di Iohannes di Hildesheim e il Flos historiarum terrae Orientis di Hyatonus. Il manoscritto riporta una redazione compendiata dell'opera con un diverso ordine dei capitoli. ","http://www.wikidata.org/entity/Q1492"
"A I 28","public library of the University of Basel, Collections","Basilea","Burchardus de Monte Sion","Il manoscritto cartaceo è formato da 291 ff. e misura 300x200 mm. Il codice trasmette principalmente testi religiosi e atti dei concili e due opere di argomento geografico, il Liber locorum sanctorum terrae Ierusalem di Rorgo Fretellus e la Descriptio Terrae Sanctae di Burcardo di Monte Sion nella redazione lunga. ","http://www.wikidata.org/entity/Q78"
"A V 17","public library of the University of Basel, Collections","Basilea","Burchardus de Monte Sion","Il manoscritto cartaceo è formato da 179 ff. e misura 290x210 mm. Il codice riporta la redazione lunga della Descriptio. ","http://www.wikidata.org/entity/Q78"
"A XI 69","public library of the University of Basel, Collections","Basilea","Odoricus de Portu Naonis","Il manoscritto cartaceo è formato da 191 ff. e misura 205x145 mm. Il codice riporta il testo della Relatio secondo la fase C e la redazione F. ","http://www.wikidata.org/entity/Q78"
"B IV 20","public library of the University of Basel, Collections","Basilea","Opus sine auctore","Il manoscritto membranaceo è formato da 110 ff. e misura 300x205 mm. Trasmette inoltre: il De sacro altaris mysterio di papa Innocenzo III e il Liber, qui Pharetra nominatur. ","http://www.wikidata.org/entity/Q78"
"E III 20","public library of the University of Basel, Collections","Basilea","Odoricus de Portu Naonis","Il manoscritto membranaceo è formato da 60 ff. e misura 200x135 mm. Il codice riporta il testo della Relatio appartenente alla fase B, redazione D. ","http://www.wikidata.org/entity/Q78"
"E III 24","public library of the University of Basel, Collections","Basilea","Balcus",,"http://www.wikidata.org/entity/Q78"
"F V 6","public library of the University of Basel, Collections","Basilea","Anonymus Ravennas","Il manoscritto è cartaceo, misura 295-300 x 205-220 mm ed è composto da II, 137 ff. Parzialmente datato al 1 ottobre 1411, fu esemplato a Basilea e riporta il nome di Goffinus de Momalia, che fu in parte copista del testo. ","http://www.wikidata.org/entity/Q78"
"N I 2 Nr. 12-13","public library of the University of Basel, Collections","Basilea","Opus sine auctore","Il manoscritto membranaceo è formato da 2 ff. e misura 30x260/265 mm. Esemplato nella regione dell'alto Reno, il codice è frammentario. I due fogli, oggi separati, formavano un rotolo e furono scoperti all'inizio del XIX secolo da F.D. Gerlach nella legatura di un libro non oggi identificato che si trovava presso l'Università di Basilea e furono poi rimossi dai bibliotecari tra il 1829 e il 1866.  *** Il manoscritto membranaceo è formato da 2 ff. e misura 300x260 mm. I testi su cui si basa il rotolo di Basilea sono stati copiati probabilmente nella zona dell' Alto Reno un pò più tardi della stesura della Memoria, avvenuta intorno all'810. ","http://www.wikidata.org/entity/Q78"
"ms. 7","Beaune, Bibliothèque Municipale","Beaune","Johannes Presbyter","Il manoscritto è formato fa 233 ff. e misura 413x293 mm. Trasmette la redazione A dell'Epistola, che aggiunge pochi elementi in più alla versione originale. ","http://www.wikidata.org/entity/Q16121"
"39","Belluno, Biblioteca Lolliana Gregoriana","Belluno","Iohannes de Mandavilla","Il manoscritto cartaceo è formato da I, 60, I' ff. Sono presenti rubriche in rosso ad inizio di ogni capitolo solo nella prima parte e segni di richiamo e notabilia a inchiostro bruno e rosso. Al f. 44 v. si legge in rosso ""Leonixius scripsit""  e al f. 60v: Explevi hic scribere die ultimo augusti 1416 quo die fuit mihi bursa perforata per magistrum contem de Camarino virum satis antiquum et per magistrum Ticium de Norsa visum satis iuvenem in illa arte peritans et cetera. Il codice riporta la versione continentale del testo di Mandeville. ","http://www.wikidata.org/entity/Q6558"
"MA 280 (Delta IV 50)","Biblioteca Civica Angelo Mai e Archivi storici comunali","Bergamo","Alexander Ariostus","Il manoscritto è cartaceo, formato da 40 ff. e misura 194 x 146 mm.  Alla c. IV si legge un'annotazione : ""Descriptio terre sancte fratris Alexandri Ferrariensis ordinis minorum"". Il testo, a piena pagina, presenta le rubriche in rosso e l'antica segnatura Delta 4.50. ","http://www.wikidata.org/entity/Q628"
"227","Biblioteca mons. G. M. Radini Tedeschi","Bergamo","Anonymus Mediolanensis","Il manoscritto membranaceo fu redatto quasi certamente a Milano e già dalla fine del XIV/inizi del XV secolo apparteneva alla chiesa di S. Alessandro, secondo quanto si legge in una nota a margine del f. 1r: Iste liber est ecclesie domni sancti Alexandri in columna burgi sancti Leonardi civitatis Pergami. Trasmette le vite di Materno (ff. 227r-232v)  e Calimero (ff. 245r-246r), oltre alla Passio sancti Felicis II papae (ff. 147r-148r), Passio sanctorum Naboris et Felicis martyrum Mediolani (ff. 219r-221r), Passio sanctorum Primi et Feliciani (ff. 165v-168r), Passio sanctorum Processi et Martiniani martyrum Romae (ff. 215v-217r), Passio Symphorosae et septem filiorum martyrum Tibure (ff. 207r-208r). ","http://www.wikidata.org/entity/Q628"
"Hamilton 637","Biblioteca di Stato di Berlino","Berlino","Guidus Pisanus","Il manoscritto membranaceo e cartaceo è formato da I, 52 ff. e misura 200x135 mm con legatura moderna con piatti in legno e dorso in pelle. Esemplato in Italia, il codice appartenne nella prima metà del XVIII secolo alla biblioteca di Apostolo Zeno (1668-1750), poi ai Domenicani di S. Maria del Rosario a Venezia, ad Alexander Douglas e infine alla Biblioteca di Stato di Berlino. ","http://www.wikidata.org/entity/Q64"
"Preußischer Kulturbesitz, lat. 4° 466 I","Biblioteca di Stato di Berlino","Berlino","Ricoldus de Monte Crucis","Membranaceo. Dimensioni: 216 x 145, disposizione del testo su 2 colonne.
Il testo è stato corretto e integrato per mano dello stesso autore","http://www.wikidata.org/entity/Q64"
"lat. 4° 70 (Rose 968)","Biblioteca di Stato di Berlino","Berlino","Franciscus Pipinus","Il manoscritto membranaceo è composto da 311 ff. e misura 170x100 mm. Fu esemplato in Inghilterra, ma già dal  XV secolo il codice si trovava in Germania, posseduto da Detmarus de Hovele. Il manoscritto trasmette inoltre: il Secretum Secretorum dello Pseudo-Aristotele, l'Imago mundi di Honorius Augustodunensis, un commentario a Metheora di Aristotele, il Chronicon di Martin Polono, il Sompniale Danielis prophete, Lunarie, l'Experimentarius di Bernardo Silvestre, il Liber aggregationis dello pseudo Alberto Magno e il Liber de virtutibus herbarum, lapidum et animalium. ","http://www.wikidata.org/entity/Q64"
"lat. oct. 32","Biblioteca di Stato di Berlino","Berlino","Beda Venerabilis","Manoscritto membranaceo composto da 96 ff. così suddivisi: Descriptio Terrae Sanctae di Iohannes von Wurzburg (ff. 1r-31v); Incipit liber beati Antonini martyris de locis sanctis (ff. 32r-46v); Incipit prologus Adamnani in libro sancti Arculfi Galliarum episcopi de locis sanctis (ff. 47r-82v); Libellus Bede presbiteri de locis sanctis (ff. 83r-96v). ","http://www.wikidata.org/entity/Q64"
"lat. qu. 618","Biblioteca di Stato di Berlino","Berlino","Franciscus Pipinus","Il manoscritto cartaceo è formato da 148 ff. e misura 215x155 mm. Esemplato a Bergamo il 5 Gennaio 1407/1408, il codice apparteneva al senatore veneziano Jacopo Soranzo (m. 1761) e fu successivamente acquistato dal gesuita veneziano Matteo Luigi Canonici (1727-1805) e poi dal reverendo Walter Sneyd, per arrivare infine a Berlino. Il manoscritto trasmette anche il De locis Terrae Sanctae di Francesco Pipino, ff. 105r-118r, e l'Historia de Septem sapientibus, ff. 118r-135v.  *** Il manoscritto cartaceo è formato da 148 ff. e misura 215x155 mm. Esemplato a Bergamo il 5 Gennaio 1407/1408, il codice apparteneva al senatore veneziano Jacopo Soranzo (m. 1761) e fu successivamente acquistato dal gesuita veneziano Matteo Luigi Canonici (1727-1805) e poi dal reverendo Walter Sneyd, per arrivare infine a Berlino. Il manoscritto trasmette anche il Liber Marci Pauli de Veneciis de consuetudinibus et condicionibus orientalium regionum, ff. 1r-105r  e l'Historia de Septem sapientibus, ff. 118r-135v. ","http://www.wikidata.org/entity/Q64"
"theol. lat. qu. 308","Biblioteca di Stato di Berlino","Berlino","Ambrosius Traversarius","Scrittura umanistica corsiva. Ente possessore: Firenze, monastero di Santa Maria degli Angeli. Possessori: Wilkenson e Hodge Sotheby; Guglielmo Libri; John Thomas Payne; Sir Thomas Phillipps.
Segue epistola di Traversari al f. 86r: inc. Frater Ambrosius s. Camaldulensis eremi prior ... Ex alto quietis sinu agentibus peccatis nostris abstracti.","http://www.wikidata.org/entity/Q64"
"Diez B Sant. 16","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Johannes Presbyter","Il manoscritto membranaceo è formato da 110 ff. e trasmette la redazione originale dell'epistola. ","http://www.wikidata.org/entity/Q64"
"Diez. C 2° 2","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Sanctus Brendanus *** Iohannes de Mandavilla","Il manoscritto cartaceo è composto da VI, 294 ff. e misura 290x205 mm, con il testo disposto su due colonne. Trasmette inoltre l'Historia destructionis Troiae, ff. 1r-122v, l'Historia de proeliis, ff. 123r-166v, l'itinerarius a terra Anglie di Iohannes de Mandeville, ff. 181r-225v, la Flos historiarum terrae Orientis, ff. 226r-270r, il De spiritu Guidonis di Iohannes Gobi Alestensis iunior, ff. 271r-280r, la Visio Trugdali, ff. 280r-294r.  *** Il manoscritto cartaceo è formato da VI, 294 ff. e misura 290x205 mm con il testo disposto su due colonne. Il codice trasmette inoltre l'Historia destructionis Troiae, l'Historia de proeliis, la Navigatio Sancti Brendani, la Flos Historiarum terrae Orientis, il De spiritu Guidonis e la Visio Trugdali. Il manoscritto riporta la versione continentale dell'Itinerarius. ","http://www.wikidata.org/entity/Q64"
"Diez. C 4° 63","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Johannes Presbyter","Il manoscritto trasmette la Coronatio romana, ff. 31r-35r, le Exigentiae di Hermannus magister, la Formula vitae honestae di Martinus Bracarensis episcopus e la Vita Pilati. Il manoscritto riporta la versione originale dell'Epistola. ","http://www.wikidata.org/entity/Q64"
"Diez. C 4° 75","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Iohannes de Mandavilla",,"http://www.wikidata.org/entity/Q64"
"Görres 111 (= Lat.  Oct. 236)","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Opus sine auctore","Il manoscritto membranaceo è formato da 107 ff. e misura 155x111 mm. Trasmette anche Tractatus varii di Bernardo di Chiaravalle. Il codice contiene solo un estratto del Tractatus de locis sanctis dal titolo De locis miracolosis terre sancte. ","http://www.wikidata.org/entity/Q64"
"Lat. Qu. 711","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Iohannes de Mandavilla","Il manoscritto cartaceo è formato da 307 ff. Trasmette testi di Enea Silvio Piccolomini e l'Itinerarius di Mandeville nella versione continentale. ","http://www.wikidata.org/entity/Q64"
"Lat. fol. 264","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Iohannes Boccaccius","Rubrica incipitaria in inchiostro rosso di mano del copista: f. 2r: «Iohannis Boccacii de
Certaldo de montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus, de
nominibus maris liber». Assente il Carme sull'Arno RUBRICHE in inchiostro rosso di mano del copista: f. 2r: «Iohannis Boccacii de
Certaldo de montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus, de
nominibus maris liber»","http://www.wikidata.org/entity/Q64"
"MS.theol.lat. fol.587","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Johannes Presbyter","Il manoscritto membranaceo è formato da 94 ff. e misura 250x320 mm. Il codice trasmette anche le Homeliae in Matthaeum di Giovanni Crisostomo e riporta la redazione B dell'Epistola, databile al XII secolo, che aggiunge un paragrafo sul secondo palazzo del regno. ","http://www.wikidata.org/entity/Q64"
"MS.theol.lat. fol.635","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Johannes Presbyter","Il manoscritto cartaceo è formato da 141 ff. e misura 305x210 mm. Trasmette sermoni e testi religiosi e al f. 141 v. riporta solo l'inizio dell'Epistola, contenuta nella versione originale del testo. ","http://www.wikidata.org/entity/Q64"
"MS.theol.lat. qu.141","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Johannes Presbyter","Il manoscritto cartaceo è composto da I, 216, I ff. e misura 210x145 mm. Il codice trasmette testi legati a pellegrinaggi e itineraria in Terra Santa, come quelli di Odorico da Pordenone, Burchardus Argentinensis, i Mirabila urbis Romae e un'epistola attribuita a papa Clemente VI. Il manoscritto contiene la versione abbreviata della redazione A dell'Epistola. ","http://www.wikidata.org/entity/Q64"
"Magdeburg 174","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Johannes Presbyter","Il manoscritto composito, membranaceo e cartaceo, è formato da II + 168 ff. e misura 210x145 mm. Esemplato in Germania, il codice trasmette la redazione B, databile al XII secolo, che aggiunge un paragrafo che riguarda il secondo palazzo del regno. ","http://www.wikidata.org/entity/Q64"
"Magdeburg 26","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Sanctus Brendanus","Il manoscritto cartaceo è formato da VIII, 461 ff. e misura 315x215 mm, con il testo disposto su due colonne. Probabilmente esemplato a Magdeburgo, trasmette inoltre testi di papa Gregorio I, l'Historia Karoli Magni et Rotholandi dello pseudo-Turpino e la Passio sanctorum Pergentini et Laurentini. ","http://www.wikidata.org/entity/Q64"
"Phillipps 1789 (Rose 151","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Odoricus de Portu Naonis","Il manoscritto membranaceo è formato da 118 ff. Il codice trasmette il testo della Relatio appartenente alla fase B, redazione D. ","http://www.wikidata.org/entity/Q64"
"Theol. lat. 293","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Johannes Presbyter","Il manoscritto era precedentemente posseduto dalla biblioteca di Hildesheim (Hildesheim, Bibliothek des bischöflichen Gymnasium Josephinum,
Nr. 17). Trasmette la versione di Hildesheim dell'Epistola del Prete Gianni. ","http://www.wikidata.org/entity/Q64"
"lat. 2° 464","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Burchardus de Monte Sion","Il codice trasmette il testo della Descriptio nella redazione lunga. ","http://www.wikidata.org/entity/Q64"
"lat. 4° 466","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Burchardus de Monte Sion","Il manoscritto membranaceo è formato da I, 65, IV' ff. e misura 216x145 mm, con il testo disposto su due colonne. Esemplato in Italia, il codice fu posseduto dal convento di Santa Maria Novella a Firenze. Formato da due diverse unità codicologiche, la prima esemplata a Santa Maria Novella a Firenze prima del 1320, la seconda vergata intorno alla prima metà del XIV secolo, il manoscritto trasmette il Liber peregrinationis di Ricoldus de Monte Crucis, ff. 1r-23v, e la Descriptio Terrae Sanctae di Burcardo di Monte Sion nella redazione lunga. ","http://www.wikidata.org/entity/Q64"
"lat. 8° 194","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Burchardus de Monte Sion","Il codice trasmette la Descriptio nella redazione breve. ","http://www.wikidata.org/entity/Q64"
"lat. 8° 293","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Burchardus de Monte Sion","Il manoscritto era precedentemente conosciuto come Hildesheim, Gymnasialbibliothek, 17. ","http://www.wikidata.org/entity/Q64"
"lat. 8° 32","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Opus sine auctore","Il manoscritto membranaceo è formato da 96 ff. Esemplato a Bologna, trasmette la Descriptio Terrae Sanctae di Giovanni di Wurzburg, il De locis sanctis di Adamnano e il De locis sanctis di Beda il Venerabile. ","http://www.wikidata.org/entity/Q64"
"lat. fol. 179","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Iohannes de Mandavilla",,"http://www.wikidata.org/entity/Q64"
"lat. fol. 198","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Rorgus Fretellus de Nazareth","Il manoscritto cartaceo è formato da 277 ff. Il codice trasmette il Liber di Rorgo Fretellus nella seconda redazione. ","http://www.wikidata.org/entity/Q64"
"lat. fol. 245","Biblioteca statale berlinese - Patrimonio culturale prussiano","Berlino","Johannes Presbyter","Il manoscritto trasmette una versione abbreviata della redazione A. ","http://www.wikidata.org/entity/Q64"
